,alias,cur_rating,review_count,avg_rating,rating_1s,rating_2s,rating_3s,rating_4s,rating_5s,rw_review_count,rw_avg_rating,rw_rating_1s,rw_rating_2s,rw_rating_3s,rw_rating_4s,rw_rating_5s,price_range,restaurant_main_type
246,michael-jordans-the-steak-house-nyc-new-york-2,3.0,405,2.84,83,91,92,87,52,1,5.0,0,0,0,0,1,$31 to $50,Steakhouse
247,beauty-and-essex-new-york,4.0,3249,3.93,214,201,456,1114,1264,22,4.23,1,0,4,5,12,$31 to $50,Other
248,the-mercer-kitchen-new-york-6,3.5,1505,3.31,170,212,370,492,261,7,4.29,0,0,2,1,4,$30 and under,American
249,the-dutch-new-york,3.5,1103,3.54,90,150,210,381,272,3,3.33,1,0,0,1,1,$31 to $50,American
250,lafayette-new-york-2,3.5,837,3.56,68,103,169,290,207,5,2.6,2,0,1,2,0,$31 to $50,French
251,vandal-new-york,3.5,1308,3.55,191,114,207,380,416,21,3.95,2,0,4,6,9,$50 and over,Other
252,gotham-bar-and-grill-new-york,4.5,1515,4.3,37,60,163,406,849,10,3.8,1,1,0,5,3,$50 and over,Contemporary American
253,il-buco-alimentari-and-vineria-new-york-2,3.5,512,3.47,54,74,94,157,133,3,3.0,1,0,0,2,0,$31 to $50,Italian
254,bar-primi-new-york-3,3.5,545,3.69,30,54,117,198,146,5,4.2,0,0,2,0,3,$30 and under,Italian
255,lure-fishbar-new-york-2,4.0,1554,3.86,73,120,256,613,492,11,4.73,0,0,1,1,9,$31 to $50,Seafood
256,nix-new-york,4.0,461,4.04,15,35,76,126,209,13,3.62,1,3,2,1,6,$31 to $50,Other
